Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YNL169C;PSD1;Verified;PhosphatidylSerine Decarboxylase;null;Respiratory growth;decreased;S288C;glycerol;;glycerol;YPD;;glucose;;nonfermentable carbon source;;23045528;
YNL280C;ERG24;Verified;ERGosterol biosynthesis;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNL280C;ERG24;Verified;ERGosterol biosynthesis;null;Respiratory growth;decreased;S288C (BY4743);glycerol;;glycerol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;;;15509654;
YNR001C;CIT1;Verified;CITrate synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNR001C;CIT1;Verified;CITrate synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;nonfermentable carbon source (2% glycerol);;19300474;
YNR041C;COQ2;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNR041C;COQ2;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YNR041C;COQ2;Verified;COenzyme Q;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YNR050C;LYS9;Verified;LYSine requiring;null;Respiratory growth;increased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YOL033W;MSE1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E);null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOL033W;MSE1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E);null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 15509654;
YOL096C;COQ3;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
